taxid	species	phylum	superkingdom
2830995	Arthrobacter sp. StoSoilB20	Actinomycetota	Bacteria
2830996	Arthrobacter sp. StoSoilB22	Actinomycetota	Bacteria
2830997	Arthrobacter sp. NicSoilB4	Actinomycetota	Bacteria
2830998	Arthrobacter sp. NicSoilB8	Actinomycetota	Bacteria
2830999	Arthrobacter sp. NicSoilB11	Actinomycetota	Bacteria
2831000	Arthrobacter sp. NicSoilC5	Actinomycetota	Bacteria
2831149	Streptomyces sp. V17-9	Actinomycetota	Bacteria
2831519	Bacillus sp. FS02	Bacillota	Bacteria
2831780	Bradyrhizobium sp. sBnM-33	Pseudomonadota	Bacteria
2831890	Enterobacter sp. JBIWA003	Pseudomonadota	Bacteria
2831891	Enterobacter sp. JBIWA005	Pseudomonadota	Bacteria
2831892	Enterobacter sp. JBIWA008	Pseudomonadota	Bacteria
2831893	Serratia sp. JSRIV001	Pseudomonadota	Bacteria
2831894	Serratia sp. JSRIV002	Pseudomonadota	Bacteria
2831895	Serratia sp. JSRIV004	Pseudomonadota	Bacteria
2831896	Serratia sp. JSRIV006	Pseudomonadota	Bacteria
2831966	Ruminococcus sp. FMBCY1	Bacillota	Bacteria
2831967	Myxococcus sp. SDU36	Myxococcota	Bacteria
2832500	Halomonas sp. FeN2	Pseudomonadota	Bacteria
2833628	Streptomyces sp. MST-110588	Actinomycetota	Bacteria
2833771	Salmonella sp. SJTUF14523	Pseudomonadota	Bacteria
2833772	Salmonella sp. SJTUF15034	Pseudomonadota	Bacteria
2834406	Pseudomonas sp. RC3H12	Pseudomonadota	Bacteria
2834819	Klebsiella sp. A52	Pseudomonadota	Bacteria
2835531	Streptomyces sp. EMB24	Actinomycetota	Bacteria
2835648	Hymenobacter sp. BT18	Bacteroidota	Bacteria
2835869	Paenibacillus sp. 481	Bacillota	Bacteria
2836161	Enterobacter sp. SGAir0187	Pseudomonadota	Bacteria
2836181	Acinetobacter sp. BHS4	Pseudomonadota	Bacteria
2836364	Staphylococcus sp. MZ3	Bacillota	Bacteria
2836365	Staphylococcus sp. MZ7	Bacillota	Bacteria
2836366	Staphylococcus sp. MZ8	Bacillota	Bacteria
2836367	Staphylococcus sp. MZ9	Bacillota	Bacteria
2836368	Enterococcus sp. E1123	Bacillota	Bacteria
2836369	Staphylococcus sp. MZ1	Bacillota	Bacteria
2836373	Actinoplanes sp. L3-i22	Actinomycetota	Bacteria
2836432	Halorubrum sp. 2020YC2	Methanobacteriota	Archaea
2837624	Sphingomonas sp. Xoc002	Pseudomonadota	Bacteria
2837955	Brucella amazoniensis	Pseudomonadota	Bacteria
2837956	Streptomyces sp. FIT100	Actinomycetota	Bacteria
2838237	Leptospira sp. severe_002	Spirochaetota	Bacteria
2838238	Leptospira sp. mild_001	Spirochaetota	Bacteria
2838470	Candidatus Bacteroides intestinigallinarum	Bacteroidota	Bacteria
2838528	Candidatus Corynebacterium faecigallinarum	Actinomycetota	Bacteria
2838850	Streptomyces sp. 135	Actinomycetota	Bacteria
2838877	Chryseobacterium sp. ZHDP1	Bacteroidota	Bacteria
2839024	Methylobacter sp. S3L5C	Pseudomonadota	Bacteria
2839623	Arthrobacter sp. K5	Actinomycetota	Bacteria
2839744	Pseudoalteromonas sp. SiA1	Pseudomonadota	Bacteria
2839983	Cupriavidus sp. EM10	Pseudomonadota	Bacteria
2840180	Campylobacter sp. 19-13652	Campylobacterota	Bacteria
2840371	Gemella sp. zg-570	Bacillota	Bacteria
2840373	Streptomyces sp. YPW6	Actinomycetota	Bacteria
2840456	Ochrobactrum sp. BTU1	Pseudomonadota	Bacteria
2840457	Nocardioides sp. LMS-CY	Actinomycetota	Bacteria
2840467	Mycoavidus sp. HKI	Pseudomonadota	Bacteria
2840468	Asticcacaulis sp. AND118	Pseudomonadota	Bacteria
2840860	Candidatus Limousia pullorum	Bacillota	Bacteria
2841063	Pseudomonas sp. SK2	Pseudomonadota	Bacteria
2841064	Pseudomonas sp. SK3(2021)	Pseudomonadota	Bacteria
2841264	Candidatus Minimicrobia vallesae	Candidatus Saccharimonadota	Bacteria
2841518	Christensenella sp. MSJ-20	Bacillota	Bacteria
2841528	Eubacterium sp. MSJ-33	Bacillota	Bacteria
2841656	Bacillus sp. ZHX3	Bacillota	Bacteria
2841662	Streptomyces sp. G11C(2021)	Actinomycetota	Bacteria
2842457	Bacillus sp. JNUCC-22	Bacillota	Bacteria
2842458	Bacillus sp. JNUCC-24	Bacillota	Bacteria
2843195	Bordetella sp. LUAb4	Pseudomonadota	Bacteria
2843318	Clostridium sp. CF011	Bacillota	Bacteria
2844380	Collinsella sp. zg1085	Actinomycetota	Bacteria
2844383	Pasteurella sp. XG20	Pseudomonadota	Bacteria
2845819	Flavobacterium sp. CECT 9288	Bacteroidota	Bacteria
2846775	Subtercola sp. PAMC28395	Actinomycetota	Bacteria
2846779	Bacillus sp. NP247	Bacillota	Bacteria
2847299	Bacteroides sp. DH3716P	Bacteroidota	Bacteria
2849093	Rhizobium sp. WYJ-E13	Pseudomonadota	Bacteria
2849779	Aquihabitans sp. G128	Actinomycetota	Bacteria
2849865	Clostridium sp. CM027	Bacillota	Bacteria
2850078	Enterobacter cloacae complex sp. ECL72	Pseudomonadota	Bacteria
2850441	Terribacillus sp. DMT04	Bacillota	Bacteria
2850493	Enterobacter cloacae complex sp. ECL112	Pseudomonadota	Bacteria
2850559	Pseudomonas sp. HS6	Pseudomonadota	Bacteria
2850561	Streptomyces sp. HNA39	Actinomycetota	Bacteria
2850562	Wolbachia endosymbiont of Anurida maritima	Pseudomonadota	Bacteria
2851015	Bacillus sp. 7D3	Bacillota	Bacteria
2851540	Klebsiella sp. PL-2018	Pseudomonadota	Bacteria
2851567	Modestobacter sp. L9-4	Actinomycetota	Bacteria
2851575	Clostridium sp. CM028	Bacillota	Bacteria
2851598	Pseudarthrobacter sp. L1SW	Actinomycetota	Bacteria
2853158	Acinetobacter sp. F9	Pseudomonadota	Bacteria
2853163	Comamonas sp. NLF-1-9	Pseudomonadota	Bacteria
2853257	Comamonas sp. Y33R10-2	Pseudomonadota	Bacteria
2853258	Paeniglutamicibacter sp. Y32M11	Actinomycetota	Bacteria
2853432	Allobaculum sp. Allo2	Bacillota	Bacteria
2853439	Sphingobacterium sp. E70	Bacteroidota	Bacteria
2853534	Pseudomonas sp. PD9R	Pseudomonadota	Bacteria
2854257	Halomonas sp. SS10-MC5	Pseudomonadota	Bacteria
2854260	Porphyrobacter sp. ULC335	Pseudomonadota	Bacteria
2854261	Burkholderia sp. EMB26	Pseudomonadota	Bacteria
2854796	Rhodococcus sp. 11-3	Actinomycetota	Bacteria
2855434	Pseudomonas sp. AO-1	Pseudomonadota	Bacteria
2855441	Halomonas sp. 18071143	Pseudomonadota	Bacteria
2855504	Thermosynechococcus sp. FA-CM-4201	Cyanobacteriota	Bacteria
2855688	Rahnella sp. PD12R	Pseudomonadota	Bacteria
2855836	Streptomyces sp. WY228	Actinomycetota	Bacteria
2855841	Polaribacter sp. NJDZ03	Bacteroidota	Bacteria
2856338	Bacillus sp. FDAARGOS_1420	Bacillota	Bacteria
2856522	Chryseobacterium sp. D764	Bacteroidota	Bacteria
2856523	Pedobacter sp. D749	Bacteroidota	Bacteria
2856556	Pseudomonas sp. HD6515	Pseudomonadota	Bacteria
2856608	Rickettsiella endosymbiont of Dermanyssus gallinae	Pseudomonadota	Bacteria
2856851	Rhodococcus sp. LW-XY12	Actinomycetota	Bacteria
2857058	Mycobacterium sp. SMC-2	Actinomycetota	Bacteria
2857059	Mycobacterium sp. SMC-4	Actinomycetota	Bacteria
2857060	Mycobacterium sp. SMC-8	Actinomycetota	Bacteria
2857061	Escherichia sp. TC-EC600-tetX4	Pseudomonadota	Bacteria
2859227	Bacillus sp. LJBS17	Bacillota	Bacteria
2859228	Paenibacillus sp. R14(2021)	Bacillota	Bacteria
2859229	Pectobacterium sp. PL152	Pseudomonadota	Bacteria
2860051	Blautia sp. KLE_1732_HM_1032	Bacillota	Bacteria
2860237	Glacieibacterium sp.	Pseudomonadota	Bacteria
2860258	Methylococcus sp. Mc7	Pseudomonadota	Bacteria
2860286	Achromobacter sp. ES-001	Pseudomonadota	Bacteria
2860337	Escherichia sp. TM-G17TGC	Pseudomonadota	Bacteria
2861279	Arthrobacter sp. PAMC25284	Actinomycetota	Bacteria
2861280	Microbacterium sp. PAMC21962	Actinomycetota	Bacteria
2861281	Microbacterium sp. PAMC22086	Actinomycetota	Bacteria
2861282	Massilia sp. NP310	Pseudomonadota	Bacteria
2861283	Massilia sp. PAMC28688	Pseudomonadota	Bacteria
2861284	Janthinobacterium sp. PAMC25594	Pseudomonadota	Bacteria
2861285	Brevundimonas sp. PAMC22021	Pseudomonadota	Bacteria
2861288	Cryobacterium sp. PAMC25264	Actinomycetota	Bacteria
2861750	Amycolatopsis sp. TNS106	Actinomycetota	Bacteria
2861765	Dyadobacter sp. NIV53	Bacteroidota	Bacteria
2861775	Pseudomonas sp. YeP6b	Pseudomonadota	Bacteria
2861776	Novosphingobium sp. NFX11	Pseudomonadota	Bacteria
2861782	Paraburkholderia edwinii	Pseudomonadota	Bacteria
2861799	Pseudomonas sp. Colony2	Pseudomonadota	Bacteria
2861800	Citrobacter sp. Colony475	Pseudomonadota	Bacteria
2861801	Citrobacter sp. Colony322	Pseudomonadota	Bacteria
2861802	Citrobacter sp. Colony219	Pseudomonadota	Bacteria
2862331	Polymorphobacter sp. PAMC 29334	Pseudomonadota	Bacteria
2862460	Dactylosporangium sp. AC04546	Actinomycetota	Bacteria
2862870	Salinarchaeum sp. IM2453	Methanobacteriota	Archaea
2862880	Curtobacterium sp. TC1	Actinomycetota	Bacteria
2862945	Pseudomonas sp. ArH3a	Pseudomonadota	Bacteria
2864101	Pseudomonas sp. So3.2b	Pseudomonadota	Bacteria
2864102	Pseudochrobactrum sp. Wa41.01b-1	Pseudomonadota	Bacteria
2864103	Microbacterium sp. Se5.02b	Actinomycetota	Bacteria
2864202	Shewanella sp. FJAT-52076	Pseudomonadota	Bacteria
2864210	Shewanella sp. FJAT-51649	Pseudomonadota	Bacteria
2864217	Candidatus Vallotiella sp. (ex Adelges kitamiensis)	Pseudomonadota	Bacteria
2864218	Candidatus Profftia sp. (ex Adelges kitamiensis)	Pseudomonadota	Bacteria
2865161	Escherichia sp. S10b	Pseudomonadota	Bacteria
2865672	Nocardiopsis sp. MT53	Actinomycetota	Bacteria
2865832	Amycolatopsis sp. DSM 110486	Actinomycetota	Bacteria
2865833	Pseudonocardia sp. DSM 110487	Actinomycetota	Bacteria
2865837	Mesorhizobium sp. AR02	Pseudomonadota	Bacteria
2865838	Mesorhizobium sp. AR07	Pseudomonadota	Bacteria
2865839	Mesorhizobium sp. AR10	Pseudomonadota	Bacteria
2866191	Bradyrhizobium sp. ISRA426	Pseudomonadota	Bacteria
2866192	Bradyrhizobium sp. ISRA430	Pseudomonadota	Bacteria
2866193	Bradyrhizobium sp. ISRA432	Pseudomonadota	Bacteria
2866195	Bradyrhizobium sp. ISRA436	Pseudomonadota	Bacteria
2866196	Bradyrhizobium sp. ISRA437	Pseudomonadota	Bacteria
2866198	Bradyrhizobium sp. ISRA443	Pseudomonadota	Bacteria
2866199	Bradyrhizobium sp. ISRA463	Pseudomonadota	Bacteria
2866200	Bradyrhizobium sp. ISRA464	Pseudomonadota	Bacteria
2866201	Enterobacter sp. Colony194	Pseudomonadota	Bacteria
2866278	Pseudomonas sp. S07E 245	Pseudomonadota	Bacteria
2866282	Pseudomonas sp. PS1(2021)	Pseudomonadota	Bacteria
2866311	Ruficoccus sp. ZRK36	Verrucomicrobiota	Bacteria
2866381	Halalkaliarchaeum sp. AArc-CO	Methanobacteriota	Archaea
2866382	Halanaeroarchaeum sp. HSR-CO	Methanobacteriota	Archaea
2866570	Aggregatibacter sp. Marseille-P9115	Pseudomonadota	Bacteria
2866573	Cardiobacterium sp. Marseille-Q4385	Pseudomonadota	Bacteria
2866626	Pseudomonas sp. 2hn	Pseudomonadota	Bacteria
2866627	Hydrogenibacillus sp. N12	Bacillota	Bacteria
2866628	Diaphorobacter sp. MNS-0	Pseudomonadota	Bacteria
2866715	Streptomyces sp. BHT-5-2	Actinomycetota	Bacteria
2866807	Pseudomonas sp. MM213	Pseudomonadota	Bacteria
2866808	Pseudomonas sp. MM211	Pseudomonadota	Bacteria
2866810	Paenibacillus sp. PSB04	Bacillota	Bacteria
2867004	Bacillus sp. FCW2	Bacillota	Bacteria
2867005	Mycobacterium sp. IDR2000157661	Actinomycetota	Bacteria
2867010	Aliiroseovarius sp. M344	Pseudomonadota	Bacteria
2867011	Jannaschia sp. M317	Pseudomonadota	Bacteria
2867012	Jannaschia sp. W003	Pseudomonadota	Bacteria
2867013	Leisingera sp. M523	Pseudomonadota	Bacteria
2867014	Leisingera sp. M527	Pseudomonadota	Bacteria
2867015	Leisingera sp. M658	Pseudomonadota	Bacteria
2867016	Leisingera sp. S132	Pseudomonadota	Bacteria
2867020	Ruegeria sp. B32	Pseudomonadota	Bacteria
2867021	Sulfitobacter sp. M368	Pseudomonadota	Bacteria
2867022	Sulfitobacter sp. S190	Pseudomonadota	Bacteria
2867023	Sulfitobacter sp. S223	Pseudomonadota	Bacteria
2867024	Sulfitobacter sp. W002	Pseudomonadota	Bacteria
2867025	Sulfitobacter sp. W027	Pseudomonadota	Bacteria
2867026	Sulfitobacter sp. W074	Pseudomonadota	Bacteria
2867247	Thermosulfurimonas sp. F29	Thermodesulfobacteriota	Bacteria
2867264	Pseudomonas phytophila	Pseudomonadota	Bacteria
2867408	Pseudomonas sp. 3-2	Pseudomonadota	Bacteria
2867409	Pseudomonas sp. NEEL19	Pseudomonadota	Bacteria
2867522	Wolbachia endosymbiont of Liriomyza huidobrensis	Pseudomonadota	Bacteria
2870346	Enterobacter sp. C2	Pseudomonadota	Bacteria
2870563	Methanobrevibacter sp. TLL-48-HuF1	Methanobacteriota	Archaea
2870750	Pseudomonas sp. CYM-20-01	Pseudomonadota	Bacteria
2870840	Pseudomonas sp. DR208	Pseudomonadota	Bacteria
2870860	Pseudomonas sp. DNDY-54	Pseudomonadota	Bacteria
2871095	Pseudomonas sp. DR48	Pseudomonadota	Bacteria
2871165	Flavobacterium sp. CHNK8	Bacteroidota	Bacteria
2871170	Cellulomonas sp. C5510	Actinomycetota	Bacteria
2871174	Stenotrophomonas sp. DR822	Pseudomonadota	Bacteria
2871175	Paenibacillus sp. DR312	Bacillota	Bacteria
2871487	Streptomyces sp. A144	Actinomycetota	Bacteria
2871493	Pseudomonas sp. SC3(2021)	Pseudomonadota	Bacteria
2871688	Acinetobacter sp. AS23	Pseudomonadota	Bacteria
2871694	Natrinema sp. SYSU A 869	Methanobacteriota	Archaea
2872646	Caenibius sp. WL	Pseudomonadota	Bacteria
2872754	Endozoicomonas sp. 4G	Pseudomonadota	Bacteria
2873269	Kluyvera sp. CRP	Pseudomonadota	Bacteria
2873296	Klebsiella sp. CTHL.F3a	Pseudomonadota	Bacteria
2874284	Bacillus sp. CRB-7	Bacillota	Bacteria
2874627	Salmonella sp. A7	Pseudomonadota	Bacteria
2874628	Pseudomonas sp. p1(2021b)	Pseudomonadota	Bacteria
2874846	Candidatus Methanoliparum sp. LAM-1	Methanobacteriota	Archaea
2875710	Bacillus sp. PM8313	Bacillota	Bacteria
2875729	Leucobacter sp. Psy1	Actinomycetota	Bacteria
2875948	Microbacterium sp. cx-55	Actinomycetota	Bacteria
2875961	Pseudomonas sp. E141	Pseudomonadota	Bacteria
2875962	Candidatus Sulfidibacterium hydrothermale	Bacteroidota	Bacteria
2876028	Enterobacter cloacae complex sp. ECL352	Pseudomonadota	Bacteria
2876620	Salmonella sp. A29-2	Pseudomonadota	Bacteria
2876713	Bacillus sp. 41-22	Bacillota	Bacteria
2876939	Curtobacterium sp. TXMA1	Actinomycetota	Bacteria
2877939	Vogesella sp. XCS3	Pseudomonadota	Bacteria
2878150	Caballeronia sp. Lep1P3	Pseudomonadota	Bacteria
2878151	Caballeronia sp. SL2Y3	Pseudomonadota	Bacteria
2878152	Caballeronia sp. Sq4a	Pseudomonadota	Bacteria
2878153	Caballeronia sp. TF1N1	Pseudomonadota	Bacteria
2878202	Ruminococcus sp. FMB-CY1	Bacillota	Bacteria
2878255	Cyanobacterium sp. DS4	Cyanobacteriota	Bacteria
2878390	Sulfurimonas sp. SWIR-19	Campylobacterota	Bacteria
2878542	Sphingobium sp. CFD-2	Pseudomonadota	Bacteria
2878545	Sphingobium sp. CFD-1	Pseudomonadota	Bacteria
2878546	Salmonella sp. A39	Pseudomonadota	Bacteria
2878678	Gordonia sp. WA4-43	Actinomycetota	Bacteria
2878680	Natrinema sp. DC36	Methanobacteriota	Archaea
2878915	Paenibacillus sp. YPG26	Bacillota	Bacteria
2879107	Lactobacillus sp. IBH004	Bacillota	Bacteria
2879113	Salmonella sp. JXY0409-18	Pseudomonadota	Bacteria
2879114	Pseudomonas sp. HS-18	Pseudomonadota	Bacteria
2879116	Pseudochrobactrum sp. XF203	Pseudomonadota	Bacteria
2879117	Aequorivita sp. F7	Bacteroidota	Bacteria
2879149	Lactococcus sp. NH2-7C	Bacillota	Bacteria
2879427	Streptomyces sp. WA6-1-16	Actinomycetota	Bacteria
2879617	Arthrobacter sp. FW305-BF8	Actinomycetota	Bacteria
2879618	Arthrobacter sp. FW306-2-2C-D06B	Actinomycetota	Bacteria
2879619	Arthrobacter sp. FW306-04-A	Actinomycetota	Bacteria
2879620	Arthrobacter sp. FW306-05-C	Actinomycetota	Bacteria
2879621	Arthrobacter sp. FW306-06-A	Actinomycetota	Bacteria
2879622	Arthrobacter sp. FW306-07-I	Actinomycetota	Bacteria
2879938	Chryseobacterium sp. MEBOG06	Bacteroidota	Bacteria
2879939	Chryseobacterium sp. MEBOG07	Bacteroidota	Bacteria
2880218	Paraburkholderia sp. D15	Pseudomonadota	Bacteria
2880221	Mesobacillus sp. S13	Bacillota	Bacteria
2880932	Lichenihabitans sp. PAMC28606	Pseudomonadota	Bacteria
2880934	Mesorhizobium sp. PAMC28654	Pseudomonadota	Bacteria
2881056	Demequina sp. TMPB413	Actinomycetota	Bacteria
2883075	Vibrio sp. LQ2	Pseudomonadota	Bacteria
2883100	Pseudosulfitobacter sp. DSM 107133	Pseudomonadota	Bacteria
2883106	Halomonas sp. NyZ770	Pseudomonadota	Bacteria
2883107	Proteus sp. NMG38-2	Pseudomonadota	Bacteria
2883127	Sulfitobacter sp. DSM 110093	Pseudomonadota	Bacteria
2883205	Pseudomonas sp. L5B5	Pseudomonadota	Bacteria
2883236	Wolbachia endosymbiont of Psylliodes chrysocephala	Pseudomonadota	Bacteria
2883238	Wolbachia endosymbiont of Chironomus riparius	Pseudomonadota	Bacteria
2884220	Streptomyces sp. WA1-19	Actinomycetota	Bacteria
2884264	Nocardioides sp. Kera G14	Actinomycetota	Bacteria
2884455	Cupriavidus sp. MP-37	Pseudomonadota	Bacteria
2884805	Pseudomonas sp. HN2	Pseudomonadota	Bacteria
2884834	Bacillus sp. CMF12	Bacillota	Bacteria
2885078	Rhodococcus sp. RDE2	Actinomycetota	Bacteria
2885633	Flavobacterium sp. N1719	Bacteroidota	Bacteria
2885764	Globicatella sp. PHS-GS-PNBC-21-1553	Bacillota	Bacteria
2886040	Acidianus sp. HS-5	Thermoproteota	Archaea
2886044	Brucella sp. JSBI001	Pseudomonadota	Bacteria
2886045	Brevibacterium sp. JSBI002	Actinomycetota	Bacteria
2886046	Marinobacter sp. AN1	Pseudomonadota	Bacteria
2886359	Stenotrophomonas sp. SI-NJAU-1	Pseudomonadota	Bacteria
2886360	Pseudomonas sp. HN2-3	Pseudomonadota	Bacteria
2886361	Pseudomonas sp. HN8-3	Pseudomonadota	Bacteria
2886375	Spiroplasma endosymbiont of Phyllotreta cruciferae	Mycoplasmatota	Bacteria
2886377	Wolbachia endosymbiont of Phyllotreta cruciferae	Pseudomonadota	Bacteria
2886505	Priestia sp. J2	Bacillota	Bacteria
2886821	Pantoea sp. Z09	Pseudomonadota	Bacteria
2886932	Arthrobacter sp. zg-Y1110	Actinomycetota	Bacteria
2886938	Arthrobacter sp. zg-Y20	Actinomycetota	Bacteria
2888526	Bacillus sp. BC1-43	Bacillota	Bacteria
2890406	Burkholderia sp. B21-005	Pseudomonadota	Bacteria
2890407	Burkholderia sp. B21-007	Pseudomonadota	Bacteria
2890836	Rhodococcus sp. 3-2	Actinomycetota	Bacteria
2892442	Pseudomonas sp. CIP-10	Pseudomonadota	Bacteria
2892541	Lysinibacillus sp. CD3-6	Bacillota	Bacteria
2892996	Streptomyces sp. SCSIO ZS0520	Actinomycetota	Bacteria
2893019	Alcaligenes sp. MMA	Pseudomonadota	Bacteria
2893469	Halomonas sp. 7T	Pseudomonadota	Bacteria
2893471	Bartonella machadoae	Pseudomonadota	Bacteria
2893881	Achromobacter sp. JD417	Pseudomonadota	Bacteria
2893882	Chryseobacterium sp. C-71	Bacteroidota	Bacteria
2893890	Pseudomonas sp. KNUC1026	Pseudomonadota	Bacteria
2894082	Spirosoma sp. KNUC1025	Bacteroidota	Bacteria
2894187	Arthrobacter sp. zg-Y919	Actinomycetota	Bacteria
2894192	Arthrobacter sp. zg-Y820	Actinomycetota	Bacteria
2894202	Pseudoalteromonas sp. SCSIO 43095	Pseudomonadota	Bacteria
2894203	Enterobacter sp. AN-K1	Pseudomonadota	Bacteria
2894310	Methylobacterium sp. NMS14P	Pseudomonadota	Bacteria
2895470	Pseudomonas sp. B21-009	Pseudomonadota	Bacteria
2895471	Pseudomonas sp. B21-010	Pseudomonadota	Bacteria
2895472	Pseudomonas sp. B21-012	Pseudomonadota	Bacteria
2895473	Pseudomonas sp. B21-015	Pseudomonadota	Bacteria
2895474	Pseudomonas sp. B21-017	Pseudomonadota	Bacteria
2895475	Pseudomonas sp. B21-019	Pseudomonadota	Bacteria
2895476	Pseudomonas sp. B21-021	Pseudomonadota	Bacteria
2895477	Pseudomonas sp. B21-023	Pseudomonadota	Bacteria
2895480	Pseudomonas sp. B21-028	Pseudomonadota	Bacteria
2895482	Pseudomonas sp. B21-031	Pseudomonadota	Bacteria
2895483	Pseudomonas sp. B21-032	Pseudomonadota	Bacteria
2895484	Pseudomonas sp. B21-035	Pseudomonadota	Bacteria
2895485	Pseudomonas sp. B21-036	Pseudomonadota	Bacteria
2895486	Pseudomonas sp. B21-040	Pseudomonadota	Bacteria
2895487	Pseudomonas sp. B21-041	Pseudomonadota	Bacteria
2895488	Pseudomonas sp. B21-044	Pseudomonadota	Bacteria
2895489	Pseudomonas sp. B21-047	Pseudomonadota	Bacteria
2895490	Pseudomonas sp. B21-048	Pseudomonadota	Bacteria
2895491	Pseudomonas sp. B21-051	Pseudomonadota	Bacteria
2895493	Pseudomonas sp. B21-053	Pseudomonadota	Bacteria
2895494	Pseudomonas sp. B21-054	Pseudomonadota	Bacteria
2895495	Pseudomonas sp. B21-056	Pseudomonadota	Bacteria
2895496	Pseudomonas sp. B21-059	Pseudomonadota	Bacteria
2895565	Nocardioides sp. B-3	Actinomycetota	Bacteria
2895568	Rhizobium sp. RCAM05350	Pseudomonadota	Bacteria
2895796	Paracoccus sp. MA	Pseudomonadota	Bacteria
2895946	Paenibacillus sp. MMS20-IR301	Bacillota	Bacteria
2895948	Pseudoalteromonas sp. SCSIO 43210	Pseudomonadota	Bacteria
2896845	Lysinibacillus sp. GJ-1	Bacillota	Bacteria
2896848	Yinghuangia sp. ASG 101	Actinomycetota	Bacteria
2897324	Cupriavidus sp. Agwp_2	Pseudomonadota	Bacteria
2897333	Metabacillus sp. B2-18	Bacillota	Bacteria
2897334	Methylorubrum sp. B1-46	Pseudomonadota	Bacteria
2897335	Staphylococcus sp. HL28	Bacillota	Bacteria
2897342	Geomonas sp. RF6	Thermodesulfobacteriota	Bacteria
2897413	Klebsiella sp. KPN54798	Pseudomonadota	Bacteria
2897772	Thauera sp. WB-2	Pseudomonadota	Bacteria
2898151	Curtobacterium sp. C1	Actinomycetota	Bacteria
2898152	Terrabacter sp. BE26	Actinomycetota	Bacteria
2898431	Aquabacterium sp. J223	Pseudomonadota	Bacteria
2898433	Sphingomonas sp. J315	Pseudomonadota	Bacteria
2898441	Pseudomonas sp. J452	Pseudomonadota	Bacteria
2898442	Bradyrhizobium sp. 62B	Pseudomonadota	Bacteria
2898483	Pseudomonas sp. 7-41	Pseudomonadota	Bacteria
2898580	Borrelia salvatorii	Spirochaetota	Bacteria
2898725	Leclercia sp. G3L	Pseudomonadota	Bacteria
2898796	Nocardioides sp. cx-173	Actinomycetota	Bacteria
2899077	Janthinobacterium sp. PLB04	Pseudomonadota	Bacteria
2899122	Photobacterium sp. TY1-4	Pseudomonadota	Bacteria
2899133	Candidatus Nanosynbacter sp. HMT-352	Minisyncoccota	Bacteria
2899657	Pseudomonas sp. Nvir	Pseudomonadota	Bacteria
2900152	Streptomyces sp. LX-29	Actinomycetota	Bacteria
2901142	Paralcaligenes sp. KSB-10	Pseudomonadota	Bacteria
2901380	Pseudomonas sp. NIBR-H-19	Pseudomonadota	Bacteria
2902422	Wolbachia endosymbiont of Frankliniella intonsa	Pseudomonadota	Bacteria
2902622	Pseudomonas sp. CP-1	Pseudomonadota	Bacteria
2902632	Candidatus Nanosynbacter sp. TM7-008	Minisyncoccota	Bacteria
2903536	Mycobacterium sp. 20KCMC460	Actinomycetota	Bacteria
2903557	Actinoallomurus sp. NBC_01490	Actinomycetota	Bacteria
2903558	Amycolatopsis sp. NBC_00438	Actinomycetota	Bacteria
2903560	Amycolatopsis sp. NBC_01286	Actinomycetota	Bacteria
2903561	Amycolatopsis sp. NBC_01307	Actinomycetota	Bacteria
2903562	Amycolatopsis sp. NBC_01480	Actinomycetota	Bacteria
2903563	Amycolatopsis sp. NBC_01488	Actinomycetota	Bacteria
2903564	Kineococcus sp. NBC_00420	Actinomycetota	Bacteria
2903565	Kitasatospora sp. NBC_00039	Actinomycetota	Bacteria
2903566	Kitasatospora sp. NBC_00085	Actinomycetota	Bacteria
2903568	Kitasatospora sp. NBC_00458	Actinomycetota	Bacteria
2903570	Kitasatospora sp. NBC_01246	Actinomycetota	Bacteria
2903571	Kitasatospora sp. NBC_01250	Actinomycetota	Bacteria
2903572	Kitasatospora sp. NBC_01266	Actinomycetota	Bacteria
2903574	Kitasatospora sp. NBC_01300	Actinomycetota	Bacteria
2903575	Kitasatospora sp. NBC_01302	Actinomycetota	Bacteria
2903576	Kitasatospora sp. NBC_01519	Actinomycetota	Bacteria
2903577	Kitasatospora sp. NBC_01539	Actinomycetota	Bacteria
2903578	Kribbella sp. NBC_01245	Actinomycetota	Bacteria
2903579	Kribbella sp. NBC_01484	Actinomycetota	Bacteria
2903580	Kribbella sp. NBC_01505	Actinomycetota	Bacteria
2903581	Kribbella sp. NBC_01510	Actinomycetota	Bacteria
2903582	Lentzea sp. NBC_00516	Actinomycetota	Bacteria
2903583	Microbispora sp. NBC_01189	Actinomycetota	Bacteria
2903584	Microbispora sp. NBC_01389	Actinomycetota	Bacteria
2903585	Micromonospora sp. NBC_00330	Actinomycetota	Bacteria
2903586	Micromonospora sp. NBC_00389	Actinomycetota	Bacteria
2903587	Micromonospora sp. NBC_00617	Actinomycetota	Bacteria
2903588	Micromonospora sp. NBC_01392	Actinomycetota	Bacteria
2903589	Micromonospora sp. NBC_01405	Actinomycetota	Bacteria
2903590	Micromonospora sp. NBC_01412	Actinomycetota	Bacteria
2903591	Nocardia sp. NBC_00511	Actinomycetota	Bacteria
2903593	Nocardia sp. NBC_01327	Actinomycetota	Bacteria
2903594	Nocardia sp. NBC_01329	Actinomycetota	Bacteria
2903595	Nocardia sp. NBC_01377	Actinomycetota	Bacteria
2903596	Nocardia sp. NBC_01388	Actinomycetota	Bacteria
