tool	rank	metric	sample	value
MetaPhlAn4	family	Sum of abundances	mock	1.00000001
MetaPhlAn4	genus	Sum of abundances	mock	1.00000001
MetaPhlAn4	species	Sum of abundances	mock	1.00000001
MetaPhlAn4	superkingdom	Taxon counts	mock	2.0
MetaPhlAn4	phylum	Taxon counts	mock	3.0
MetaPhlAn4	class	Taxon counts	mock	3.0
MetaPhlAn4	order	Taxon counts	mock	5.0
MetaPhlAn4	family	Taxon counts	mock	8.0
MetaPhlAn4	genus	Taxon counts	mock	9.0
MetaPhlAn4	species	Taxon counts	mock	9.0
