Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,screen_reads.fastq
Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Afifellaceae,Faunimonas,Faunimonas_pinastri,A52C2,0.4571030051671253
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Candidatus_Pantoea_deserta,RIT388,0.012967352686918105
Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Arcanobacterium,Arcanobacterium_urinimassiliense,Marseille-P3248,0.03227079062159844
Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Vaginimicrobium,Vaginimicrobium_propionicum,Marseille-P3275,0.0928628219096719
Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus_lacustris,Tous,0.17790489662035378
Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Sanguibacteraceae,Sanguibacter,Sanguibacter_massiliensis,Marseille-P3815,0.012491802109911321
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera_aphidicola,Sg_ex_Schizaphis_graminum,0.5917733307280049
Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Rhodopseudomonas,Rhodopseudomonas_julia,DSM_11549,0.062446798631909106
Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella_opportunistica,PA05-1188,0.39462430404396864
Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Arminella,Arminella_tumorigenes,1078,1.1909721532891862
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia_bonniea,BbQS859,0.49126430474294913
Bacteria,Bacillota,Bacilli,Caryophanales,Bacillaceae,Ornithinibacillus,Ornithinibacillus_gellani,LJ137,0.11587835467496894
Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Tolypothrichaceae,Tolypothrix,Tolypothrix_tenuis,NIES-37,2.2940924362861965
Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus_terminator,CA054A,0.14712929478193965
Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_lilanjuaniae,2129,0.34992818114602425
Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Calotrichaceae,Dulcicalothrix,Dulcicalothrix_desertica,PCC_7102,1.1999629135988283
Bacteria,Chloroflexota,Ktedonobacteria,Ktedonobacterales,Ktedonosporobacteraceae,Ktedonosporobacter,Ktedonosporobacter_rubrisoli,SCAWS-G2,0.27458908601636917
Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Lacipirellulaceae,Aeoliella,Aeoliella_mucimassa,Pan181,0.06694369277718322
Bacteria,Spirochaetota,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira,Brachyspira_catarrhinii,Z12,0.4441839556538793
Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium_deserti,SPY-1,0.33637646364815643
Archaea,Nanobdellota,Nanobdellia,Nanobdellales,Nanobdellaceae,Nanobdella,Nanobdella_aerobiophila,MJ1,0.16566001764714736
Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Roseiconus,Roseiconus_nitratireducens,JC645,0.0022217663039521035
Bacteria,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter_baengnokdamensis,BRD72,5.990131471085135
Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_lycii,TRM_66187,0.0761863885523881
Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,unclassified_Mycobacteriales_family,Fodinicola,Fodinicola_acaciae,GKU_173,0.24317550340544025
Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Bradyrhizobium_acaciae,10BB,0.6043412163847638
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_ruminicola,CNU_G2,0.06921990457056994
Bacteria,Aquificota,Aquificia,Aquificales,Aquificaceae,Aquifex,Aquifex_pyrophilus,JCM_9492,0.05858069796215794
Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,Luteolibacter_luteus,G-1-1-1,0.08214069345506855
Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella_coleohominis,KA00225,0.20053270088865355
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Pseudolactococcus,Pseudolactococcus_paracarnosus,TMW_21615,0.5045532309929287
Bacteria,Bacillota,Bacilli,Caryophanales,Listeriaceae,Brochothrix,Brochothrix_campestris,DSM_4712,0.1322966747666547
Bacteria,Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus_Phytoplasma,Candidatus_Phytoplasma_asiaticum,PR34,0.15631355501785738
Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Nostoc,Nostoc_favosum,CHAB_5714,5.927906961724117
Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Nostoc,Nostoc_mirabile,CHAB_5784,0.8101754253375534
Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Pyxidicoccus,Pyxidicoccus_parkwayensis,SCPEA02,0.12240038884141877
Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Ornithinimicrobiaceae,Ornithinimicrobium,Ornithinimicrobium_kibberense,JCM_12763,0.024444809302703326
Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Rhinopithecimicrobium,Rhinopithecimicrobium_faecis,WQ_2009,0.1407803177363891
