tool	rank	metric	sample	value
RaPDTool_full	order	Bray-Curtis distance	mock	0.23064109769358904
RaPDTool_full	family	Bray-Curtis distance	mock	0.34855498977167515
RaPDTool_full	genus	Bray-Curtis distance	mock	0.4279699742796998
RaPDTool_full	species	Bray-Curtis distance	mock	0.6204124224082483
RaPDTool_full	superkingdom	Shannon diversity	mock	0.16090147606090044
RaPDTool_full	superkingdom	Shannon equitability	mock	0.23213176158477533
RaPDTool_full	phylum	Shannon diversity	mock	1.4607950386219093
RaPDTool_full	phylum	Shannon equitability	mock	0.46588988466337444
RaPDTool_full	class	Shannon diversity	mock	1.5065281187840374
RaPDTool_full	class	Shannon equitability	mock	0.43086654105566413
RaPDTool_full	order	Shannon diversity	mock	2.2775688489321904
RaPDTool_full	order	Shannon equitability	mock	0.5852194280496169
RaPDTool_full	family	Shannon diversity	mock	2.8142171901081854
RaPDTool_full	family	Shannon equitability	mock	0.6766761973589255
RaPDTool_full	genus	Shannon diversity	mock	3.4524303528886775
RaPDTool_full	genus	Shannon equitability	mock	0.7563906626015795
RaPDTool_full	species	Shannon diversity	mock	3.738461267842912
RaPDTool_full	species	Shannon equitability	mock	0.7878850880702656
RaPDTool_full	superkingdom	True positives	mock	1.0
RaPDTool_full	superkingdom	False negatives	mock	0.0
RaPDTool_full	superkingdom	False positives	mock	1.0
RaPDTool_full	superkingdom	Completeness	mock	1.0
RaPDTool_full	superkingdom	Purity	mock	0.5
RaPDTool_full	superkingdom	F1 score	mock	0.6666666666666666
RaPDTool_full	superkingdom	Jaccard index	mock	0.5
RaPDTool_full	phylum	True positives	mock	2.0
RaPDTool_full	phylum	False negatives	mock	0.0
RaPDTool_full	phylum	False positives	mock	21.0
RaPDTool_full	phylum	Completeness	mock	1.0
RaPDTool_full	phylum	Purity	mock	0.08695652173913043
RaPDTool_full	phylum	F1 score	mock	0.16
RaPDTool_full	phylum	Jaccard index	mock	0.08695652173913043
RaPDTool_full	class	True positives	mock	2.0
RaPDTool_full	class	False negatives	mock	0.0
RaPDTool_full	class	False positives	mock	31.0
RaPDTool_full	class	Completeness	mock	1.0
RaPDTool_full	class	Purity	mock	0.06060606060606061
RaPDTool_full	class	F1 score	mock	0.1142857142857143
RaPDTool_full	class	Jaccard index	mock	0.06060606060606061
RaPDTool_full	order	True positives	mock	4.0
RaPDTool_full	order	False negatives	mock	0.0
RaPDTool_full	order	False positives	mock	45.0
RaPDTool_full	order	Completeness	mock	1.0
RaPDTool_full	order	Purity	mock	0.08163265306122448
RaPDTool_full	order	F1 score	mock	0.15094339622641506
RaPDTool_full	order	Jaccard index	mock	0.08163265306122448
RaPDTool_full	family	True positives	mock	7.0
RaPDTool_full	family	False negatives	mock	0.0
RaPDTool_full	family	False positives	mock	57.0
RaPDTool_full	family	Completeness	mock	1.0
RaPDTool_full	family	Purity	mock	0.109375
RaPDTool_full	family	F1 score	mock	0.19718309859154928
RaPDTool_full	family	Jaccard index	mock	0.109375
RaPDTool_full	genus	True positives	mock	8.0
RaPDTool_full	genus	False negatives	mock	0.0
RaPDTool_full	genus	False positives	mock	88.0
RaPDTool_full	genus	Completeness	mock	1.0
RaPDTool_full	genus	Purity	mock	0.08333333333333333
RaPDTool_full	genus	F1 score	mock	0.15384615384615385
RaPDTool_full	genus	Jaccard index	mock	0.08333333333333333
RaPDTool_full	species	True positives	mock	7.0
RaPDTool_full	species	False negatives	mock	1.0
RaPDTool_full	species	False positives	mock	108.0
RaPDTool_full	species	Completeness	mock	0.875
RaPDTool_full	species	Purity	mock	0.06086956521739131
RaPDTool_full	species	F1 score	mock	0.11382113821138212
RaPDTool_full	species	Jaccard index	mock	0.0603448275862069
RaPDTool_full	superkingdom	L1 norm error	mock	0.07560815999999994
RaPDTool_full	phylum	L1 norm error	mock	0.39813191
RaPDTool_full	class	L1 norm error	mock	0.40482117999999984
RaPDTool_full	order	L1 norm error	mock	0.4612821999999999
RaPDTool_full	family	L1 norm error	mock	0.6971099900000003
RaPDTool_full	genus	L1 norm error	mock	0.8559399399999998
