tool	rank	metric	sample	value
RaPDTool_screen	species	Purity	mock	0.10638297872340426
RaPDTool_screen	species	F1 score	mock	0.1923076923076923
RaPDTool_screen	species	Jaccard index	mock	0.10638297872340426
RaPDTool_screen	superkingdom	L1 norm error	mock	0.003717780000000035
RaPDTool_screen	phylum	L1 norm error	mock	0.016102130000000003
RaPDTool_screen	class	L1 norm error	mock	0.026470800000000006
RaPDTool_screen	order	L1 norm error	mock	0.03911083999999998
RaPDTool_screen	family	L1 norm error	mock	0.04773053000000001
RaPDTool_screen	genus	L1 norm error	mock	0.05714450000000002
RaPDTool_screen	species	L1 norm error	mock	0.10245038999999993
RaPDTool_screen	na	Weighted UniFrac error	mock	0.0022446479183333415
RaPDTool_screen	na	Unweighted UniFrac error	mock	10.365278228129728
RaPDTool_screen	na	Weighted UniFrac (CAMI)	mock	0.2927269699999976
RaPDTool_screen	na	Unweighted UniFrac (CAMI)	mock	1379.9963346199997
RaPDTool_screen	superkingdom	Sum of abundances	mock	1.0
RaPDTool_screen	phylum	Sum of abundances	mock	0.9999999900000001
RaPDTool_screen	class	Sum of abundances	mock	1.0
RaPDTool_screen	order	Sum of abundances	mock	1.0000000199999999
RaPDTool_screen	family	Sum of abundances	mock	1.00000003
RaPDTool_screen	genus	Sum of abundances	mock	1.0
RaPDTool_screen	species	Sum of abundances	mock	1.00000003
RaPDTool_screen	superkingdom	Taxon counts	mock	2.0
RaPDTool_screen	phylum	Taxon counts	mock	22.0
RaPDTool_screen	class	Taxon counts	mock	35.0
RaPDTool_screen	order	Taxon counts	mock	70.0
RaPDTool_screen	family	Taxon counts	mock	103.0
RaPDTool_screen	genus	Taxon counts	mock	137.0
RaPDTool_screen	species	Taxon counts	mock	188.0
RaPDTool_full	superkingdom	Bray-Curtis distance	mock	0.021250630000000062
RaPDTool_full	phylum	Bray-Curtis distance	mock	0.277205092772051
RaPDTool_full	class	Bray-Curtis distance	mock	0.27974468919617035
RaPDTool_full	order	Bray-Curtis distance	mock	0.3128691803069623
RaPDTool_full	family	Bray-Curtis distance	mock	0.31426849657134254
RaPDTool_full	genus	Bray-Curtis distance	mock	0.3220489832204898
RaPDTool_full	species	Bray-Curtis distance	mock	0.33622962331885187
RaPDTool_full	superkingdom	Shannon diversity	mock	0.18114153008787248
RaPDTool_full	superkingdom	Shannon equitability	mock	0.2613319871568126
RaPDTool_full	phylum	Shannon diversity	mock	2.4340965849864844
RaPDTool_full	phylum	Shannon equitability	mock	0.7995002943077695
RaPDTool_full	class	Shannon diversity	mock	2.619087316154939
RaPDTool_full	class	Shannon equitability	mock	0.7490581015807842
RaPDTool_full	order	Shannon diversity	mock	2.8761098157294636
RaPDTool_full	order	Shannon equitability	mock	0.6941868912465742
RaPDTool_full	family	Shannon diversity	mock	2.9063964424763804
RaPDTool_full	family	Shannon equitability	mock	0.6475009787103383
RaPDTool_full	genus	Shannon diversity	mock	2.9511999841247367
RaPDTool_full	genus	Shannon equitability	mock	0.6186114187867287
RaPDTool_full	species	Shannon diversity	mock	3.118473877538453
RaPDTool_full	species	Shannon equitability	mock	0.6100315584949809
RaPDTool_full	superkingdom	True positives	mock	2.0
RaPDTool_full	superkingdom	False negatives	mock	0.0
RaPDTool_full	superkingdom	False positives	mock	0.0
RaPDTool_full	superkingdom	Completeness	mock	1.0
RaPDTool_full	superkingdom	Purity	mock	1.0
RaPDTool_full	superkingdom	F1 score	mock	1.0
RaPDTool_full	superkingdom	Jaccard index	mock	1.0
RaPDTool_full	phylum	True positives	mock	15.0
RaPDTool_full	phylum	False negatives	mock	0.0
RaPDTool_full	phylum	False positives	mock	6.0
RaPDTool_full	phylum	Completeness	mock	1.0
RaPDTool_full	phylum	Purity	mock	0.7142857142857143
RaPDTool_full	phylum	F1 score	mock	0.8333333333333333
